CHANGWAT_T,LAT,LONG
จ. สตูล,6.546,99.706
จ. ระยอง,12.646,101.171
จ. ชุมพร,10.459,99.403
จ. มหาสารคาม,16.162,103.484
จ. สุราษฎร์ธานี,9.708,99.675
จ. ชลบุรี,12.611,100.889
จ. ตรัง,7.033,99.449
จ. จันทบุรี,12.465,102.066
จ. พังงา,9.406,97.901
จ. ตราด,11.817,102.397
จ. ระนอง,9.401,98.392
จ. ภูเก็ต,7.924,98.455
จ. กระบี่,8.049,98.676
กรุงเทพมหานคร,13.753,100.500
จ. นครศรีธรรมราช,9.324,99.775
จ. สมุทรสาคร,13.533,100.276
จ. พระนครศรีอยุธยา,14.328,100.404
จ. ลพบุรี,14.802,100.611
จ. สมุทรปราการ,13.656,100.533
จ. อ่างทอง,14.588,100.459
จ. ปัตตานี,6.870,101.256
จ. เชียงใหม่,18.785,98.985
จ. ชัยนาท,15.263,100.041
จ. นนทบุรี,13.914,100.422
จ. อุตรดิตถ์,17.652,100.039
จ. ขอนแก่น,16.035,102.723
จ. นครสวรรค์,15.896,100.315
จ. เพชรบุรี,13.121,99.900
จ. สิงห์บุรี,14.890,100.404
จ. สมุทรสงคราม,13.487,99.958
จ. ราชบุรี,13.816,99.873
จ. นครนายก,14.204,101.219
จ. สระบุรี,14.586,101.002
จ. นครปฐม,13.787,100.192
จ. กาญจนบุรี,13.954,99.752
จ. ปทุมธานี,14.031,100.552
จ. พิษณุโลก,16.789,100.250
จ. ฉะเชิงเทรา,13.707,101.100
จ. เชียงราย,19.907,99.832
จ. สงขลา,7.561,100.356
จ. ลำพูน,18.537,98.933
จ. หนองคาย,17.890,102.761
จ. อุบลราชธานี,15.244,104.894
จ. สุโขทัย,17.012,99.822
จ. พะเยา,19.172,99.894
จ. อุทัยธานี,15.371,99.900
จ. แพร่,18.140,100.142
จ. เพชรบูรณ์,16.839,101.239
จ. แม่ฮ่องสอน,19.302,97.970
จ. บุรีรัมย์,14.999,103.104
จ. พิจิตร,16.222,100.427
จ. น่าน,18.793,100.786
จ. ยะลา,6.464,101.374
จ. สุพรรณบุรี,14.850,99.988
จ. นครราชสีมา,14.909,101.851
จ. ปราจีนบุรี,14.057,101.374
จ. ตาก,16.862,99.129
จ. ร้อยเอ็ด,15.600,104.139
จ. นครพนม,17.066,104.749
จ. มุกดาหาร,16.530,104.724
จ. สระแก้ว,13.680,102.517
จ. อุดรธานี,17.411,102.792
จ. ลำปาง,18.752,99.996
จ. ศรีสะเกษ,14.669,104.271
จ. ยโสธร,15.799,104.148
จ. พัทลุง,7.589,100.050
จ. นราธิวาส,6.424,101.820
จ. เลย,17.493,101.732
จ. กาฬสินธุ์,16.266,103.737
จ. สุรินทร์,14.884,103.490
จ. ประจวบคีรีขันธ์,11.805,99.784
จ. ชัยภูมิ,16.610,101.921
จ. สกลนคร,17.125,104.260
จ. กำแพงเพชร,16.473,99.528
จ. อำนาจเจริญ,15.823,104.562
จ. หนองบัวลำภู,17.308,102.117
จ. บึงกาฬ,18.031,103.711